phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6259321,http://refsec.16mb.com/facebook-confirm/index.htm?entry_source=NOTIFICATIONS&amp;ext=1571050844&amp;hash=AeRIKYH6cTNQJd_v&amp;notif_id,http://www.phishtank.com/phish_detail.php?phish_id=6259321,2019-10-31T22:55:54+00:00,yes,2019-10-31T22:57:05+00:00,yes,Facebook
6259320,http://refsec.16mb.com/facebook-confirm/,http://www.phishtank.com/phish_detail.php?phish_id=6259320,2019-10-31T22:55:25+00:00,yes,2019-10-31T22:56:32+00:00,yes,Facebook
6259315,http://secs.16mb.com/facebook-confirm/index.htm?entry_source=NOTIFICATIONS&amp;ext=1571050844&amp;hash=AeRIKYH6cTNQJd_v&amp;notif_id,http://www.phishtank.com/phish_detail.php?phish_id=6259315,2019-10-31T22:40:34+00:00,yes,2019-10-31T22:41:23+00:00,yes,Facebook
6259314,http://secs.16mb.com/facebook-confirm/,http://www.phishtank.com/phish_detail.php?phish_id=6259314,2019-10-31T22:40:03+00:00,yes,2019-10-31T22:40:15+00:00,yes,Facebook
6259308,http://section-pf.16mb.com/facebook-confirm/index.htm?entry_source=NOTIFICATIONS&amp;ext=1571050844&amp;hash=AeRIKYH6cTNQJd_v&amp;notif_id,http://www.phishtank.com/phish_detail.php?phish_id=6259308,2019-10-31T22:32:42+00:00,yes,2019-10-31T22:33:32+00:00,yes,Facebook
6259304,http://section-pf.16mb.com/facebook-confirm/,http://www.phishtank.com/phish_detail.php?phish_id=6259304,2019-10-31T22:31:35+00:00,yes,2019-10-31T22:32:58+00:00,yes,Facebook
6259303,https://arcreprov.000webhostapp.com/mobile-facebook-verification.htm,http://www.phishtank.com/phish_detail.php?phish_id=6259303,2019-10-31T22:25:02+00:00,yes,2019-10-31T22:26:14+00:00,yes,Facebook
6259294,https://www.niss-bk-mufg-inkin-jp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6259294,2019-10-31T22:08:47+00:00,yes,2019-10-31T22:09:23+00:00,yes,Other
6259288,https://secure75.securewebsession.com/acessoautenticosax.com/Digital/Produtos/Servicos,http://www.phishtank.com/phish_detail.php?phish_id=6259288,2019-10-31T22:00:44+00:00,yes,2019-10-31T22:02:05+00:00,yes,Other
6259287,https://31102019client-com.umbler.net/caixa,http://www.phishtank.com/phish_detail.php?phish_id=6259287,2019-10-31T22:00:39+00:00,yes,2019-10-31T22:02:05+00:00,yes,Other
6259252,http://a0350244.xsph.ru/c34e0e02eb881e6728224fbee2b6c96b/a420d057e10f146fed117277ceeb13a3/,http://www.phishtank.com/phish_detail.php?phish_id=6259252,2019-10-31T21:24:24+00:00,yes,2019-10-31T21:25:54+00:00,yes,Other
6259251,http://a0350244.xsph.ru/c34e0e02eb881e6728224fbee2b6c96b/a420d057e10f146fed117277ceeb13a3/211821sasa21s/,http://www.phishtank.com/phish_detail.php?phish_id=6259251,2019-10-31T21:24:23+00:00,yes,2019-10-31T21:25:54+00:00,yes,Other
6259245,https://www.appauthy-safebr.com/authyapphref0982349823492843289href890324-023423043href90834890234appbr.com/dispositivotoken2019327873723434/classic/mobile/home.php,http://www.phishtank.com/phish_detail.php?phish_id=6259245,2019-10-31T21:16:17+00:00,yes,2019-11-01T04:32:05+00:00,yes,Bradesco
6259238,http://3tesla.info/e/?,http://www.phishtank.com/phish_detail.php?phish_id=6259238,2019-10-31T21:11:28+00:00,yes,2019-11-01T13:14:30+00:00,yes,Blockchain
6259230,http://dsgnpool.com/bioved/page1,http://www.phishtank.com/phish_detail.php?phish_id=6259230,2019-10-31T21:00:28+00:00,yes,2019-10-31T21:01:51+00:00,yes,Other
6259200,https://dofus-evenement-draconiros.com/,http://www.phishtank.com/phish_detail.php?phish_id=6259200,2019-10-31T19:54:25+00:00,yes,2019-10-31T19:55:23+00:00,yes,Other
6259185,https://31102019client-com.umbler.net/caixa/,http://www.phishtank.com/phish_detail.php?phish_id=6259185,2019-10-31T19:14:12+00:00,yes,2019-10-31T19:44:47+00:00,yes,Caixa
6259181,https://my3-billing-login.com,http://www.phishtank.com/phish_detail.php?phish_id=6259181,2019-10-31T19:07:44+00:00,yes,2019-10-31T19:43:40+00:00,yes,Other
6259180,https://www.audiobooked.net/weekend/zzzz,http://www.phishtank.com/phish_detail.php?phish_id=6259180,2019-10-31T19:00:28+00:00,yes,2019-10-31T19:42:32+00:00,yes,Other
6259177,https://e-sad24.net/1,http://www.phishtank.com/phish_detail.php?phish_id=6259177,2019-10-31T18:51:33+00:00,yes,2019-10-31T19:41:59+00:00,yes,"PKO Polish Bank"
6259167,https://udincako.000webhostapp.com/confirmation.html,http://www.phishtank.com/phish_detail.php?phish_id=6259167,2019-10-31T18:13:14+00:00,yes,2019-10-31T19:35:49+00:00,yes,Facebook
6259166,https://udincako.000webhostapp.com/acc-ind.html,http://www.phishtank.com/phish_detail.php?phish_id=6259166,2019-10-31T18:12:49+00:00,yes,2019-10-31T18:24:46+00:00,yes,Facebook
6259151,https://wwwzonaseguras1bn.com/.p/BNlWeb,http://www.phishtank.com/phish_detail.php?phish_id=6259151,2019-10-31T17:00:31+00:00,yes,2019-10-31T17:25:44+00:00,yes,Other
6259140,http://www.cbbh10.cz/unitedstates/Suziko.php?Sef=4147,http://www.phishtank.com/phish_detail.php?phish_id=6259140,2019-10-31T16:50:52+00:00,yes,2019-10-31T17:07:14+00:00,yes,"American Express"
6259121,https://aude-mofe.web.app/,http://www.phishtank.com/phish_detail.php?phish_id=6259121,2019-10-31T16:31:51+00:00,yes,2019-10-31T22:29:37+00:00,yes,Other
6259124,https://ductportails.firebaseapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6259124,2019-10-31T16:31:51+00:00,yes,2019-10-31T17:18:27+00:00,yes,Other
6259110,http://time-honoured-dimen.000webhostapp.com/cox.full/cox.full/Zo/stepCoxMail/log/sycho,http://www.phishtank.com/phish_detail.php?phish_id=6259110,2019-10-31T16:01:02+00:00,yes,2019-10-31T19:36:57+00:00,yes,Other
6259109,https://shrimpy-throats.000webhostapp.com/cox.fullsssysybssvsssssgwetqgrseees/cox.full/Zo/stepCoxMail/log/sycho,http://www.phishtank.com/phish_detail.php?phish_id=6259109,2019-10-31T16:00:57+00:00,yes,2019-10-31T19:36:57+00:00,yes,Other
6259108,https://mahratta-supply.000webhostapp.com/cox.full2/cox.full/Zo/stepCoxMail/log/sycho,http://www.phishtank.com/phish_detail.php?phish_id=6259108,2019-10-31T16:00:51+00:00,yes,2019-10-31T17:12:17+00:00,yes,Other
6259107,https://java-heights.000webhostapp.com/codtwtjhetegxnjsfhrwulldrhsgwgwgrewerfge/cox.full/Zo/stepCoxMail/log/sycho,http://www.phishtank.com/phish_detail.php?phish_id=6259107,2019-10-31T16:00:47+00:00,yes,2019-10-31T17:11:44+00:00,yes,Other
6259106,http://radio-strobes.000webhostapp.com/cox.full/cox.full/Zo/stepCoxMail/log/sycho,http://www.phishtank.com/phish_detail.php?phish_id=6259106,2019-10-31T16:00:43+00:00,yes,2019-10-31T17:11:10+00:00,yes,Other
6259104,http://op013001003-com.umbler.net/caixa,http://www.phishtank.com/phish_detail.php?phish_id=6259104,2019-10-31T16:00:33+00:00,yes,2019-10-31T17:10:36+00:00,yes,Other
6259102,http://btnance.org/,http://www.phishtank.com/phish_detail.php?phish_id=6259102,2019-10-31T15:58:07+00:00,yes,2019-10-31T15:59:14+00:00,yes,Other
6259089,http://freebtceth.com/eth.php,http://www.phishtank.com/phish_detail.php?phish_id=6259089,2019-10-31T15:53:46+00:00,yes,2019-11-01T08:33:57+00:00,yes,Other
6259085,http://freebtceth.com/btc.php,http://www.phishtank.com/phish_detail.php?phish_id=6259085,2019-10-31T15:53:18+00:00,yes,2019-11-01T08:33:57+00:00,yes,Other
6259077,"https://secure.runescape.com-un.ru/m=weblogin/loginform851,968,289,38242934,1",http://www.phishtank.com/phish_detail.php?phish_id=6259077,2019-10-31T15:40:59+00:00,yes,2019-10-31T17:06:40+00:00,yes,RuneScape
6259069,https://bradesco.maisplanobr.com,http://www.phishtank.com/phish_detail.php?phish_id=6259069,2019-10-31T15:25:26+00:00,yes,2019-10-31T15:30:06+00:00,yes,Caixa
6259061,http://dsgnpool.com/bioved/page1/,http://www.phishtank.com/phish_detail.php?phish_id=6259061,2019-10-31T15:05:17+00:00,yes,2019-10-31T17:02:44+00:00,yes,"Internal Revenue Service"
6259054,http://qinchengwh.com/33l4fmn/page3/,http://www.phishtank.com/phish_detail.php?phish_id=6259054,2019-10-31T14:51:22+00:00,yes,2019-10-31T17:01:37+00:00,yes,"Internal Revenue Service"
6259046,http://511311606240530-dot-rdj-wsv-lsi.appspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=6259046,2019-10-31T14:44:53+00:00,yes,2019-10-31T16:58:48+00:00,yes,Google
6259047,https://511311606240530-dot-rdj-wsv-lsi.appspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=6259047,2019-10-31T14:44:53+00:00,yes,2019-10-31T16:59:22+00:00,yes,Google
6259045,http://xilemiao.com/mnwuj/vp4/,http://www.phishtank.com/phish_detail.php?phish_id=6259045,2019-10-31T14:34:00+00:00,yes,2019-10-31T16:58:14+00:00,yes,"Internal Revenue Service"
6259040,https://yt54dsxaz.appspot.com,http://www.phishtank.com/phish_detail.php?phish_id=6259040,2019-10-31T14:25:59+00:00,yes,2019-10-31T16:56:33+00:00,yes,Microsoft
6259036,http://a0350091.xsph.ru/c34e0e02eb881e6728224fbee2b6c96b/a420d057e10f146fed117277ceeb13a3/211821sasa21s/,http://www.phishtank.com/phish_detail.php?phish_id=6259036,2019-10-31T14:18:34+00:00,yes,2019-10-31T16:55:59+00:00,yes,Other
6259031,https://wwwzonaseguras1bn.com/.p/BNlWeb/,http://www.phishtank.com/phish_detail.php?phish_id=6259031,2019-10-31T14:09:20+00:00,yes,2019-10-31T14:16:34+00:00,yes,Other
6259029,https://ebay-error-bussiness-pay.gitlab.io/ebay.com,http://www.phishtank.com/phish_detail.php?phish_id=6259029,2019-10-31T14:07:57+00:00,yes,2019-10-31T16:54:17+00:00,yes,Other
6259028,http://protoplasmal-subpro.000webhostapp.com/suntrust.com/suntrust.com/,http://www.phishtank.com/phish_detail.php?phish_id=6259028,2019-10-31T14:07:28+00:00,yes,2019-10-31T16:53:44+00:00,yes,Other
6259027,http://protoplasmal-subpro.000webhostapp.com/suntrust.com/suntrust.com,http://www.phishtank.com/phish_detail.php?phish_id=6259027,2019-10-31T14:07:27+00:00,yes,2019-10-31T16:53:10+00:00,yes,Other
6259024,http://payment-isuessglobal.doncasterservicecentre.com.au/9624429a94b0942965b4db04fc216308ZGE5MGI3Mzg0YzBiNDgzMzUyMGQ0YjM4MDZiZDM1Y2Q=/,http://www.phishtank.com/phish_detail.php?phish_id=6259024,2019-10-31T14:07:04+00:00,yes,2019-10-31T16:52:02+00:00,yes,Other
6259023,http://payment-isuessglobal.doncasterservicecentre.com.au/9624429a94b0942965b4db04fc216308ZGE5MGI3Mzg0YzBiNDgzMzUyMGQ0YjM4MDZiZDM1Y2Q=,http://www.phishtank.com/phish_detail.php?phish_id=6259023,2019-10-31T14:07:01+00:00,yes,2019-10-31T16:52:02+00:00,yes,Other
6259020,http://acec.org.ve/korc/Absa%20Online%20-%20PROFILE.htm,http://www.phishtank.com/phish_detail.php?phish_id=6259020,2019-10-31T14:06:34+00:00,yes,2019-10-31T16:50:55+00:00,yes,"ABSA Bank"
6259015,http://duck-billed-classif.000webhostapp.com/dll/dll/error.html?cmd=_account-details&amp;session=776a7a3ae4e798e390b0a7421633f058&amp;dispatch=5e4e5d1f33d483391e27fdd16f1c5eef25a34cca,http://www.phishtank.com/phish_detail.php?phish_id=6259015,2019-10-31T14:04:45+00:00,yes,2019-10-31T16:50:21+00:00,yes,Other
6259014,http://eoh-za.000webhostapp.com/x/x/o1/main.html,http://www.phishtank.com/phish_detail.php?phish_id=6259014,2019-10-31T14:04:17+00:00,yes,2019-10-31T16:49:47+00:00,yes,Other
6259012,http://sumberstavol.com/shipping/9vcm8OZOMlW4GmOJ2hyzdK59dzkt6Q8fllBuaBiWXf0EBPnE7VdlGjuUSPnZFve1RQv1sOXp3Y3/,http://www.phishtank.com/phish_detail.php?phish_id=6259012,2019-10-31T14:04:02+00:00,yes,2019-10-31T16:49:13+00:00,yes,Other
6259011,http://sumberstavol.com/shipping/9vcm8OZOMlW4GmOJ2hyzdK59dzkt6Q8fllBuaBiWXf0EBPnE7VdlGjuUSPnZFve1RQv1sOXp3Y3,http://www.phishtank.com/phish_detail.php?phish_id=6259011,2019-10-31T14:04:01+00:00,yes,2019-10-31T16:48:39+00:00,yes,Other
6259010,https://casaabrilselections.com/inods_kjdsfez/ff1ab66449ce523fa92e3a376fefee46/view/login.php?cmd=login_submit&amp;id=28682f6ba9792df77fc3eb866cb4ba9e28682f6ba9792df77fc3eb866cb4ba9e&amp;session=28682f6ba9792df77fc3eb866cb4ba9e28682f6ba9792df77fc3eb866cb4ba9e,http://www.phishtank.com/phish_detail.php?phish_id=6259010,2019-10-31T14:03:55+00:00,yes,2019-10-31T16:48:39+00:00,yes,Other
6259009,https://casaabrilselections.com/inods_kjdsfez/ff1ab66449ce523fa92e3a376fefee46/view/login.php?userid=,http://www.phishtank.com/phish_detail.php?phish_id=6259009,2019-10-31T14:03:48+00:00,yes,2019-10-31T16:48:05+00:00,yes,Other
6259007,http://sumberstavol.com/shipping/r7LRfeMKoBidzzXIKqUEZUbtcoOLfgxHoiyDwlnVWG8vf6e0x8Ex3Q0feP1u5ybuRK7o5vj2csy/,http://www.phishtank.com/phish_detail.php?phish_id=6259007,2019-10-31T14:03:13+00:00,yes,2019-10-31T16:47:31+00:00,yes,Other
6259006,http://sumberstavol.com/shipping/r7LRfeMKoBidzzXIKqUEZUbtcoOLfgxHoiyDwlnVWG8vf6e0x8Ex3Q0feP1u5ybuRK7o5vj2csy,http://www.phishtank.com/phish_detail.php?phish_id=6259006,2019-10-31T14:03:12+00:00,yes,2019-10-31T16:47:31+00:00,yes,Other
6259005,https://www.audiobooked.net/weekend/zzzz/,http://www.phishtank.com/phish_detail.php?phish_id=6259005,2019-10-31T14:03:11+00:00,yes,2019-10-31T16:46:24+00:00,yes,Other
6259004,http://www.audiobooked.net/weekend/zzzz/,http://www.phishtank.com/phish_detail.php?phish_id=6259004,2019-10-31T14:03:10+00:00,yes,2019-10-31T16:45:50+00:00,yes,Other
6259003,http://www.hoasapsaigon.com/upload/user2/main/linkedin.com/linkedin.com/linkedin/LinkedIn.html,http://www.phishtank.com/phish_detail.php?phish_id=6259003,2019-10-31T14:03:03+00:00,yes,2019-10-31T16:45:16+00:00,yes,Other
6259001,http://www.smartposst.com/inc/66808c/account.htm,http://www.phishtank.com/phish_detail.php?phish_id=6259001,2019-10-31T14:02:36+00:00,yes,2019-10-31T16:44:08+00:00,yes,Other
6258999,http://snowpush.com/directing/www.cibc.mobi/ebm-mobile-anp/accountConfirm.php,http://www.phishtank.com/phish_detail.php?phish_id=6258999,2019-10-31T14:02:02+00:00,yes,2019-10-31T14:29:34+00:00,yes,Other
6258995,https://verittmarketing.com/prima/authentication/prelogon/proceed/kod.php,http://www.phishtank.com/phish_detail.php?phish_id=6258995,2019-10-31T14:01:22+00:00,yes,2019-10-31T14:26:46+00:00,yes,Other
6258966,https://pasteleriamona.org/canal/profesional/imagenes/comun2008/banca-en-linea-personas.html,http://www.phishtank.com/phish_detail.php?phish_id=6258966,2019-10-31T13:31:42+00:00,yes,2019-10-31T22:12:12+00:00,yes,Other
6258963,https://yerevanprintbiennale.com/bpm53/lag.php,http://www.phishtank.com/phish_detail.php?phish_id=6258963,2019-10-31T13:27:02+00:00,yes,2019-10-31T13:28:21+00:00,yes,Other
6258962,https://yerevanprintbiennale.com/bpm53/,http://www.phishtank.com/phish_detail.php?phish_id=6258962,2019-10-31T13:26:51+00:00,yes,2019-10-31T13:27:48+00:00,yes,Orange
6258959,https://admiralmarkets.bg/utils/r?link=http://bit.do/promoxp07,http://www.phishtank.com/phish_detail.php?phish_id=6258959,2019-10-31T13:24:13+00:00,yes,2019-10-31T13:25:34+00:00,yes,RuneScape
6258954,http://time-honoured-dimen.000webhostapp.com/cox.full/cox.full/Zo/stepCoxMail/log/sycho/,http://www.phishtank.com/phish_detail.php?phish_id=6258954,2019-10-31T13:12:31+00:00,yes,2019-10-31T13:25:01+00:00,yes,Other
6258953,http://103.27.200.243/random,http://www.phishtank.com/phish_detail.php?phish_id=6258953,2019-10-31T13:12:20+00:00,yes,2019-10-31T13:25:34+00:00,yes,Other
6258952,http://poromeric-runner.000webhostapp.com/cox.full/Zo/stepCoxMail/log/sycho/,http://www.phishtank.com/phish_detail.php?phish_id=6258952,2019-10-31T13:12:16+00:00,yes,2019-10-31T13:25:35+00:00,yes,Other
6258950,https://admiralmarkets.bg/utils/r?link=http://bit.do/b0atyquittings,http://www.phishtank.com/phish_detail.php?phish_id=6258950,2019-10-31T13:10:29+00:00,yes,2019-10-31T13:11:41+00:00,yes,RuneScape
6258948,https://mahratta-supply.000webhostapp.com/cox.full2/cox.full/Zo/stepCoxMail/log/sycho/,http://www.phishtank.com/phish_detail.php?phish_id=6258948,2019-10-31T13:09:33+00:00,yes,2019-10-31T13:29:28+00:00,yes,Other
6258944,https://shrimpy-throats.000webhostapp.com/cox.fullsssysybssvsssssgwetqgrseees/cox.full/Zo/stepCoxMail/log/sycho/,http://www.phishtank.com/phish_detail.php?phish_id=6258944,2019-10-31T13:08:09+00:00,yes,2019-10-31T13:30:01+00:00,yes,Other
6258940,http://jadoredesigns.co.za/z/aol/login.htm,http://www.phishtank.com/phish_detail.php?phish_id=6258940,2019-10-31T13:00:54+00:00,yes,2019-10-31T13:04:28+00:00,yes,Other
6258938,http://prive-online-voorwaardes.serveo.net/icscards.nI-vernieuwde-voorwaardes-activeren-procedure/,http://www.phishtank.com/phish_detail.php?phish_id=6258938,2019-10-31T13:00:46+00:00,yes,2019-10-31T13:25:35+00:00,yes,Other
6258935,https://apple.com.app-id.top/,http://www.phishtank.com/phish_detail.php?phish_id=6258935,2019-10-31T13:00:36+00:00,yes,2019-10-31T13:02:48+00:00,yes,Other
6258934,http://op013001003-com.umbler.net/caixa/,http://www.phishtank.com/phish_detail.php?phish_id=6258934,2019-10-31T13:00:32+00:00,yes,2019-10-31T13:02:14+00:00,yes,Other
6258933,http://prakasaws.com/templates/beez5/html/com_content/article/content/activate-your-account/update-your-account-information/security-measure/log-in/success,http://www.phishtank.com/phish_detail.php?phish_id=6258933,2019-10-31T13:00:27+00:00,yes,2019-10-31T13:01:41+00:00,yes,Other
6258932,http://prakasaws.com/templates/beez5/html/com_content/article/content/activate-your-account/update-your-account-information/security-measure/log-in/signin?country.x=US&amp;locale.x=_US,http://www.phishtank.com/phish_detail.php?phish_id=6258932,2019-10-31T13:00:21+00:00,yes,2019-10-31T13:01:41+00:00,yes,Other
6258928,https://admiralmarkets.bg/utils/r?link=http://bit.do/wooxraffle,http://www.phishtank.com/phish_detail.php?phish_id=6258928,2019-10-31T12:51:47+00:00,yes,2019-10-31T12:52:48+00:00,yes,RuneScape
6258922,https://www.dofusretros.com/fr/mmorpg/actualites/news/fioles-retrorique/,http://www.phishtank.com/phish_detail.php?phish_id=6258922,2019-10-31T12:37:58+00:00,yes,2019-10-31T12:38:22+00:00,yes,Other
6258921,https://www.dofusretros.com/fr/mmorpg/actualites/news/Parchemins-retrotique/,http://www.phishtank.com/phish_detail.php?phish_id=6258921,2019-10-31T12:37:17+00:00,yes,2019-10-31T12:38:22+00:00,yes,Other
6258907,http://secured-bankofamerica-com-reset-30020-982d09.netlify.com/,http://www.phishtank.com/phish_detail.php?phish_id=6258907,2019-10-31T12:01:56+00:00,yes,2019-10-31T12:05:37+00:00,yes,Other
6258908,https://secured-bankofamerica-com-reset-30020-982d09.netlify.com/,http://www.phishtank.com/phish_detail.php?phish_id=6258908,2019-10-31T12:01:56+00:00,yes,2019-10-31T12:06:10+00:00,yes,Other
6258889,http://abcde52.000webhostapp.com/Signin/succure/ID-NUMB737/myaccount/signin/,http://www.phishtank.com/phish_detail.php?phish_id=6258889,2019-10-31T12:00:52+00:00,yes,2019-10-31T12:03:23+00:00,yes,Other
6258887,http://paypal.com.au-dispute50043.gajsiddhiglobal.com/website/access/au/cgi-bin/webscr/initthi.html?bshowgif&amp;amp,http://www.phishtank.com/phish_detail.php?phish_id=6258887,2019-10-31T12:00:43+00:00,yes,2019-10-31T12:02:50+00:00,yes,Other
6258851,http://elitetutoring.net/.well-known/pki-validation/Secure/myaccount/signin/?country.x=LU&amp;locale.x=en_LU,http://www.phishtank.com/phish_detail.php?phish_id=6258851,2019-10-31T11:00:23+00:00,yes,2019-10-31T11:01:57+00:00,yes,Other
6258838,https://en.amazon.co.jp.feedbacks.farruca-mailbusiness.org/?amz,http://www.phishtank.com/phish_detail.php?phish_id=6258838,2019-10-31T10:41:11+00:00,yes,2019-10-31T10:42:37+00:00,yes,Amazon.com
6258834,https://66add736-3390-4bf3-893c-321534adcb58.htmlpasta.com/,http://www.phishtank.com/phish_detail.php?phish_id=6258834,2019-10-31T10:27:33+00:00,yes,2019-10-31T10:28:47+00:00,yes,Other
6258823,https://secure75.securewebsession.com/trr20191022115620992.domtemporario.com.br,http://www.phishtank.com/phish_detail.php?phish_id=6258823,2019-10-31T10:00:39+00:00,yes,2019-10-31T10:02:15+00:00,yes,Other
6258821,http://elitetutoring.net/.well-known/pki-validation/Secure/,http://www.phishtank.com/phish_detail.php?phish_id=6258821,2019-10-31T10:00:29+00:00,yes,2019-10-31T10:01:42+00:00,yes,Other
6258820,https://eliteloot.tk/,http://www.phishtank.com/phish_detail.php?phish_id=6258820,2019-10-31T09:59:22+00:00,yes,2019-10-31T23:20:39+00:00,yes,Steam
6258811,http://hghgjo.tbhvs.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=6258811,2019-10-31T09:17:02+00:00,yes,2019-11-01T00:13:23+00:00,yes,Amazon.com
6258809,https://n3plcpnl0271.prod.ams3.secureserver.net/~d6rs8jzlivno/rakuten.co.jp/,http://www.phishtank.com/phish_detail.php?phish_id=6258809,2019-10-31T09:12:35+00:00,yes,2019-10-31T09:14:17+00:00,yes,Other
6258794,http://actualisation7ef32cb1.ovh.net11fd028e.sio.bio/dog/593a2a55084243c3b88d667899bd40a6/?AUTH_TOKEN=4440aae0725cf60b871aec3acd0841ea&cur=loading&page=home,http://www.phishtank.com/phish_detail.php?phish_id=6258794,2019-10-31T08:46:21+00:00,yes,2019-10-31T08:49:23+00:00,yes,Other
6258793,http://actualisation7ef32cb1.ovh.net11fd028e.sio.bio/dog/593a2a55084243c3b88d667899bd40a6/?AUTH_TOKEN=120d3a223cd62c672ea2272ee98dd862&amp;cur=loading&amp;page=home,http://www.phishtank.com/phish_detail.php?phish_id=6258793,2019-10-31T08:46:20+00:00,yes,2019-10-31T08:48:50+00:00,yes,Other
6258789,http://www.beltronix.eu/jominst/includes/domit/nizla.php,http://www.phishtank.com/phish_detail.php?phish_id=6258789,2019-10-31T08:45:20+00:00,yes,2019-10-31T08:46:37+00:00,yes,Other
6258782,http://www.campisicorradomichele.com/public/_vti_cnf/mo.php,http://www.phishtank.com/phish_detail.php?phish_id=6258782,2019-10-31T08:38:22+00:00,yes,2019-10-31T08:39:27+00:00,yes,Other
6258766,http://elitetutoring.net/.well-known/pki-validation/Secure/myaccount/signin/?country.x=US&locale.x=en_US,http://www.phishtank.com/phish_detail.php?phish_id=6258766,2019-10-31T08:00:35+00:00,yes,2019-10-31T08:01:25+00:00,yes,Other
6258765,http://elitetutoring.net/.well-known/pki-validation/Secure,http://www.phishtank.com/phish_detail.php?phish_id=6258765,2019-10-31T08:00:34+00:00,yes,2019-10-31T08:01:25+00:00,yes,Other
6258764,http://abcde52.000webhostapp.com/Signin/succure/ID-NUMB737,http://www.phishtank.com/phish_detail.php?phish_id=6258764,2019-10-31T08:00:28+00:00,yes,2019-10-31T08:01:25+00:00,yes,Other
6258750,http://remolnbiano.net/cok3*,http://www.phishtank.com/phish_detail.php?phish_id=6258750,2019-10-31T07:21:51+00:00,yes,2019-10-31T13:07:48+00:00,yes,Other
6258749,https://vk.com/away.php?to=http%3A%2F%2Frajeshkhanal.com.np%2Fwp-config.php&amp;post=521188519_100&amp;cc_key=,http://www.phishtank.com/phish_detail.php?phish_id=6258749,2019-10-31T07:21:48+00:00,yes,2019-10-31T13:07:48+00:00,yes,Other
